City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Pozo Colorado,PY,2022-01-28 01:20:51,-23.4923,-58.7972,75.13,93,100,7.9
172,Chicama,PE,2022-01-28 01:20:52,-7.8447,-79.1469,66.74,79,100,6.04
173,Zhigansk,RU,2022-01-28 01:19:08,66.7697,123.3711,-32.4,100,20,3.18
174,Bozoum,CF,2022-01-28 01:20:53,6.3193,16.3799,66.33,29,1,3.42
175,Haines Junction,CA,2022-01-28 01:20:54,60.7522,-137.5108,21.15,79,100,1.14
176,Aklavik,CA,2022-01-28 01:21:55,68.2191,-135.0107,-17.57,93,100,2.21
177,Amriswil,CH,2022-01-28 01:21:56,47.547,9.2984,37.17,94,100,6.91
178,Kokopo,PG,2022-01-28 01:21:57,-4.352,152.2633,85.68,65,97,10.27
179,Tocopilla,CL,2022-01-28 01:21:57,-22.092,-70.1979,69.69,74,77,9.08
180,Buenaventura,CO,2022-01-28 01:21:58,3.8801,-77.0312,74.25,96,95,2.89
181,Caravelas,BR,2022-01-28 01:21:59,-17.7125,-39.2481,75.83,89,5,5.46
182,Lodja,CD,2022-01-28 01:22:00,-3.4833,23.4333,69.04,95,100,2.04
183,Soma,TR,2022-01-28 01:22:00,39.1855,27.6094,32.99,82,4,2.37
184,Waingapu,ID,2022-01-28 01:22:01,-9.6567,120.2641,83.61,72,100,12.24
185,Limbang,MY,2022-01-28 01:22:02,4.75,115.0,77.31,87,81,1.88
186,Cayenne,GF,2022-01-28 01:22:02,4.9333,-52.3333,69.84,94,0,0.0
187,Levice,SK,2022-01-28 01:22:03,48.2156,18.6071,37.71,91,100,14.16
188,Urucara,BR,2022-01-28 01:22:04,-2.5364,-57.76,74.14,97,100,2.48
189,Praia,CV,2022-01-28 01:22:05,14.9215,-23.5087,70.34,68,75,23.02
190,Wakuya,JP,2022-01-28 01:22:05,38.5333,141.1333,35.56,68,96,5.32
191,Melur,IN,2022-01-28 01:22:06,10.05,78.3333,69.1,89,8,6.49
